user_id,net_cashflow,income_stability,eom_balance,neg_balance_days,low_balance_days,declined_txns,upi_stability,wallet_transfers,essential_ratio,discretionary_ratio,food_delivery_ratio,gaming_ratio,fashion_ratio,gambling_ratio,bnpl_ratio,bnpl_failures,night_txns,weekend_ratio,micro_spends,refunds,parental_dependency,gig_ratio,failed_subs,active_subs,sim_age,device_age,loan_apps,gaming_apps,finance_apps,signup_tenure,upi_tenure,address_stability
0,-2135.3899999999976,0.45139344087639177,-5565.0774999999985,258,258,14,0.0,0,0.12940066800368216,0.0,0.0996542787960812,0.05702604155837282,0.13769369239948914,0.5433102915538047,0.1586083445643894,6,61,0.735026264977589,214,2,0.0,0.0,1,6,32,19,4,3,1,491,954,1
1,-8109.410000000002,0.10909944008698924,-6113.967500000001,184,189,11,0.08072954908333167,34,0.953718686196935,0.2229835054515881,0.19076322232482487,0.2814768847584273,0.4087335541643017,0.3460551173764604,0.265918467625107,1,66,0.6520332467318453,173,4,0.9454205813332883,0.0,0,6,3,8,2,11,1,352,51,1
10,10186.59,0.3576091188020761,5236.802500000002,25,26,5,0.0,77,0.15423222348046317,0.11287792040184985,0.03872517697967344,0.05409451990375512,0.08078592260342002,0.009721492934520157,0.010252906431157702,0,5,0.42459578526660013,142,7,0.0,0.0,0,2,13,4,1,1,4,364,722,1
100,9706.22,0.3858603201543502,4336.74,27,31,16,0.0,58,0.20058726636205937,0.08284158802032113,0.047395906423699403,0.05675129541696393,0.07507682325502225,0.013485355958864674,0.004139037952475499,1,7,0.5036668713524739,124,3,0.0,0.0,0,2,14,20,1,1,2,978,725,1
101,-6524.719999999998,0.24398336030430268,-4977.835,217,217,7,0.0,53,1.0530801526287943,0.3454228245331652,0.1513096135880148,0.301988901770539,0.4386074310862982,0.1333408372072082,0.02557770448994293,3,31,0.5723147189783848,152,3,0.0,0.9625766802111588,1,4,37,11,3,2,2,659,744,1
102,-12113.96,0.21069245277394782,-9859.010000000002,262,265,15,0.22890311355577134,39,1.290471654603563,0.24352868376591313,0.2665980657317471,0.32238731253519853,0.5134501866826117,0.5703912802649479,0.5473473918897934,4,102,0.8697814953909183,225,6,0.9514671561436076,0.0,3,5,7,6,2,10,1,340,28,1
103,-173.23999999999978,0.6126690509220789,-704.4025000000001,133,159,14,0.0,60,0.330081724531775,0.17327042281633603,0.11127288453221851,0.08325478759383907,0.19003559508100376,0.042225080671094796,0.07122121067630655,0,40,0.4844000045215038,137,0,0.0,1.0,0,6,54,18,3,2,2,955,490,1
104,726.3200000000033,0.3936005990460252,-2647.7350000000015,238,238,12,0.0,0,0.13109531073168332,0.0,0.08375362889337204,0.06987710967868915,0.1176068985878069,0.42070806475421924,0.12041098755105052,3,76,0.6342215788100428,194,3,0.0,0.0,1,5,49,12,5,2,1,96,171,1
105,11184.09,0.38926249327001544,5893.727500000003,21,21,7,0.0,61,0.1444444148801715,0.08589012556242334,0.04852738878585739,0.04567023832647294,0.07191674937272004,0.0,0.00408377214105351,0,9,0.3812938668951769,119,1,0.0,0.0,0,5,54,29,1,2,3,129,597,1
106,-1514.4699999999993,0.3356071444239953,-4121.057500000001,233,233,10,0.0,0,0.16347592990014018,0.0,0.06088136926492289,0.06112026206936602,0.15021078000480428,0.538041369370511,0.11572442593135199,7,64,0.6850067274070826,188,3,0.0,0.0,4,4,19,20,5,4,0,21,898,1
107,457.3700000000026,0.3352153674892279,-2067.8399999999992,204,210,10,0.0,0,0.08871081677704194,0.0,0.0532481866918953,0.06821696625670134,0.09829328287606433,0.5050223904131188,0.14397918637653737,1,58,0.6591205878550187,175,2,0.0,0.0,0,5,14,9,6,5,1,24,698,1
108,10268.66,0.39589019646063434,5155.749999999999,29,35,10,0.0,65,0.17567142077277867,0.08826528857767978,0.06305100992516367,0.04038840960965608,0.06707921217670143,0.0,0.006815221736495287,0,5,0.4885207062588867,123,2,0.0,0.0,1,4,57,21,0,1,3,985,818,1
109,-11511.310000000001,0.09668570182270483,-8799.960000000003,260,263,12,0.04690448809890289,38,0.9274848075169667,0.23759561270733867,0.32245568016959886,0.3549089798466604,0.6725520227449324,0.5410881994942577,0.4734844571803291,2,97,1.1179471056136605,219,5,0.9265528222311054,0.0,1,6,5,1,2,7,3,785,447,1
11,-4344.74,0.6348133907247479,-3995.1125,238,238,12,0.0,64,0.6286261238163606,0.2853006529244863,0.226848528356066,0.14606707004409802,0.19519194612518373,0.16496085871534544,0.08259665675315352,1,36,0.7217294394772168,158,5,0.0,0.9768126346015793,0,5,8,12,2,1,2,998,745,1
110,-9820.199999999999,0.09889169470856574,-6431.033333333333,208,212,8,0.12461038825670294,28,0.8970612023006101,0.13772977335754674,0.19966581452706253,0.21978698177488507,0.4271303907001719,0.3365100964368558,0.4113566362664613,2,94,0.9612641566048451,206,4,0.9593791220794208,0.0,0,3,10,11,1,6,1,793,668,1
